"Step","devout-grass-22 - training acc","devout-grass-22 - training acc__MIN","devout-grass-22 - training acc__MAX"
"0","0.092","0.092","0.092"
"3","0.13","0.13","0.13"
"6","0.13","0.13","0.13"
"9","0.13","0.13","0.13"
"12","0.156","0.156","0.156"
"15","0.177","0.177","0.177"
"18","0.174","0.174","0.174"
"21","0.186","0.186","0.186"
"24","0.209","0.209","0.209"
"27","0.205","0.205","0.205"
"30","0.197","0.197","0.197"
"33","0.217","0.217","0.217"
"36","0.212","0.212","0.212"
"39","0.219","0.219","0.219"
"42","0.23","0.23","0.23"
"45","0.241","0.241","0.241"
"48","0.238","0.238","0.238"
"51","0.259","0.259","0.259"
"54","0.268","0.268","0.268"
"57","0.27","0.27","0.27"
"60","0.247","0.247","0.247"
"63","0.244","0.244","0.244"
"66","0.218","0.218","0.218"
"69","0.216","0.216","0.216"
"72","0.192","0.192","0.192"
"75","0.243","0.243","0.243"
"78","0.27","0.27","0.27"
"81","0.292","0.292","0.292"
"84","0.239","0.239","0.239"
"87","0.29","0.29","0.29"
"90","0.275","0.275","0.275"
"93","0.267","0.267","0.267"
"96","0.236","0.236","0.236"
"99","0.238","0.238","0.238"
"102","0.233","0.233","0.233"
"105","0.279","0.279","0.279"
"108","0.324","0.324","0.324"
"111","0.29","0.29","0.29"
"114","0.314","0.314","0.314"
"117","0.319","0.319","0.319"
"120","0.35","0.35","0.35"
"123","0.334","0.334","0.334"
"126","0.353","0.353","0.353"
"129","0.408","0.408","0.408"
"132","0.4","0.4","0.4"
"135","0.426","0.426","0.426"
"138","0.386","0.386","0.386"
"141","0.391","0.391","0.391"
"144","0.407","0.407","0.407"
"147","0.442","0.442","0.442"
"150","0.484","0.484","0.484"
"153","0.544","0.544","0.544"
"156","0.516","0.516","0.516"
"159","0.56","0.56","0.56"
"162","0.594","0.594","0.594"
"165","0.591","0.591","0.591"
"168","0.596","0.596","0.596"
"171","0.575","0.575","0.575"
"174","0.567","0.567","0.567"
"177","0.492","0.492","0.492"
"180","0.534","0.534","0.534"
"183","0.605","0.605","0.605"
"186","0.721","0.721","0.721"
"189","0.759","0.759","0.759"
"192","0.787","0.787","0.787"
"195","0.82","0.82","0.82"
"198","0.803","0.803","0.803"
"201","0.807","0.807","0.807"
"204","0.801","0.801","0.801"
"207","0.763","0.763","0.763"
"210","0.675","0.675","0.675"
"213","0.609","0.609","0.609"
"216","0.6","0.6","0.6"
"219","0.695","0.695","0.695"
"222","0.743","0.743","0.743"
"225","0.718","0.718","0.718"
"228","0.829","0.829","0.829"
"231","0.883","0.883","0.883"
"234","0.925","0.925","0.925"
"237","0.941","0.941","0.941"
"240","0.981","0.981","0.981"
"243","0.989","0.989","0.989"
"246","0.992","0.992","0.992"
"249","0.987","0.987","0.987"
"252","1","1","1"
"255","1","1","1"
"258","1","1","1"
"261","1","1","1"
"264","1","1","1"
"267","1","1","1"
"270","1","1","1"
"273","1","1","1"
"276","1","1","1"
"279","1","1","1"
"282","1","1","1"
"285","1","1","1"
"288","1","1","1"
"291","1","1","1"
"294","1","1","1"
"297","1","1","1"
